M,K,N,solution_index,status,bad_reps,total_reps
768,768,3072,537657389,clean,0,30
768,768,3072,537657390,clean,0,30
768,768,3072,537657391,clean,0,30
768,768,3072,537657392,clean,0,30
1024,1024,1024,537657393,clean,0,30
1024,1024,1024,537657394,clean,0,30
1024,1024,1024,537657395,clean,0,30
1024,1024,1024,537657396,clean,0,30
1024,1024,1024,537657397,clean,0,30
1024,1024,1024,537657398,clean,0,30
1024,1024,1024,537657399,clean,0,30
1024,1024,1024,537657400,clean,0,30
1024,1024,1024,537657401,clean,0,30
1024,1024,1024,537657402,clean,0,30
1024,1024,1024,537657403,clean,0,30
1024,1024,1024,537657404,clean,0,30
